Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Housing Units with 0 Vehicles Available,Data Time Period,Geographic Vintage,Data Source
Zip Code Tabulation Area,76704,TX,76704,76704,18.22,2018-2022,2020,Census
Zip Code Tabulation Area,77026,TX,77026,77026,18.07,2018-2022,2020,Census
Zip Code Tabulation Area,76459,TX,76459,76459,18.06,2018-2022,2020,Census
Zip Code Tabulation Area,78705,TX,78705,78705,18.02,2018-2022,2020,Census
Zip Code Tabulation Area,78881,TX,78881,78881,17.84,2018-2022,2020,Census
Zip Code Tabulation Area,76661,TX,76661,76661,17.81,2018-2022,2020,Census
Zip Code Tabulation Area,75210,TX,75210,75210,17.8,2018-2022,2020,Census
Zip Code Tabulation Area,78146,TX,78146,78146,17.79,2018-2022,2020,Census
Zip Code Tabulation Area,77442,TX,77442,77442,17.63,2018-2022,2020,Census
Zip Code Tabulation Area,79905,TX,79905,79905,17.52,2018-2022,2020,Census
Zip Code Tabulation Area,77081,TX,77081,77081,17.5,2018-2022,2020,Census
Zip Code Tabulation Area,75216,TX,75216,75216,17.42,2018-2022,2020,Census
Zip Code Tabulation Area,75933,TX,75933,75933,17.37,2018-2022,2020,Census
Zip Code Tabulation Area,78040,TX,78040,78040,17.35,2018-2022,2020,Census
Zip Code Tabulation Area,75203,TX,75203,75203,17.2,2018-2022,2020,Census
Zip Code Tabulation Area,77002,TX,77002,77002,17.18,2018-2022,2020,Census
Zip Code Tabulation Area,77051,TX,77051,77051,17.08,2018-2022,2020,Census
Zip Code Tabulation Area,76519,TX,76519,76519,16.95,2018-2022,2020,Census
Zip Code Tabulation Area,78622,TX,78622,78622,16.91,2018-2022,2020,Census
Zip Code Tabulation Area,77951,TX,77951,77951,16.57,2018-2022,2020,Census
Zip Code Tabulation Area,78203,TX,78203,78203,16.56,2018-2022,2020,Census
Zip Code Tabulation Area,78834,TX,78834,78834,16.49,2018-2022,2020,Census
Zip Code Tabulation Area,75759,TX,75759,75759,16.33,2018-2022,2020,Census
Zip Code Tabulation Area,78369,TX,78369,78369,16.28,2018-2022,2020,Census
Zip Code Tabulation Area,78383,TX,78383,78383,16.16,2018-2022,2020,Census
Zip Code Tabulation Area,78011,TX,78011,78011,16.11,2018-2022,2020,Census
Zip Code Tabulation Area,78075,TX,78075,78075,16.04,2018-2022,2020,Census
Zip Code Tabulation Area,77831,TX,77831,77831,15.98,2018-2022,2020,Census
Zip Code Tabulation Area,79903,TX,79903,79903,15.69,2018-2022,2020,Census
Zip Code Tabulation Area,75968,TX,75968,75968,15.66,2018-2022,2020,Census
Zip Code Tabulation Area,78548,TX,78548,78548,15.63,2018-2022,2020,Census
Zip Code Tabulation Area,78119,TX,78119,78119,15.48,2018-2022,2020,Census
Zip Code Tabulation Area,77550,TX,77550,77550,15.4,2018-2022,2020,Census
Zip Code Tabulation Area,79785,TX,79785,79785,15.38,2018-2022,2020,Census
Zip Code Tabulation Area,77853,TX,77853,77853,15.31,2018-2022,2020,Census
Zip Code Tabulation Area,79845,TX,79845,79845,15.08,2018-2022,2020,Census
Zip Code Tabulation Area,77091,TX,77091,77091,15.07,2018-2022,2020,Census
Zip Code Tabulation Area,77022,TX,77022,77022,15.01,2018-2022,2020,Census
Zip Code Tabulation Area,79235,TX,79235,79235,14.99,2018-2022,2020,Census
Zip Code Tabulation Area,79401,TX,79401,79401,14.86,2018-2022,2020,Census
Zip Code Tabulation Area,77880,TX,77880,77880,14.83,2018-2022,2020,Census
Zip Code Tabulation Area,78355,TX,78355,78355,14.74,2018-2022,2020,Census
Zip Code Tabulation Area,77701,TX,77701,77701,14.7,2018-2022,2020,Census
Zip Code Tabulation Area,78067,TX,78067,78067,14.64,2018-2022,2020,Census
Zip Code Tabulation Area,76541,TX,76541,76541,14.54,2018-2022,2020,Census
Zip Code Tabulation Area,77032,TX,77032,77032,14.49,2018-2022,2020,Census
Zip Code Tabulation Area,77023,TX,77023,77023,14.47,2018-2022,2020,Census
Zip Code Tabulation Area,78584,TX,78584,78584,14.4,2018-2022,2020,Census
Zip Code Tabulation Area,75972,TX,75972,75972,14.39,2018-2022,2020,Census
Zip Code Tabulation Area,78201,TX,78201,78201,14.34,2018-2022,2020,Census
Zip Code Tabulation Area,77035,TX,77035,77035,14.26,2018-2022,2020,Census
Zip Code Tabulation Area,78377,TX,78377,78377,14.2,2018-2022,2020,Census
Zip Code Tabulation Area,78202,TX,78202,78202,14.13,2018-2022,2020,Census
Zip Code Tabulation Area,75236,TX,75236,75236,14.12,2018-2022,2020,Census
Zip Code Tabulation Area,75212,TX,75212,75212,14.07,2018-2022,2020,Census
Zip Code Tabulation Area,77063,TX,77063,77063,14.04,2018-2022,2020,Census
Zip Code Tabulation Area,78756,TX,78756,78756,13.93,2018-2022,2020,Census
Zip Code Tabulation Area,77020,TX,77020,77020,13.84,2018-2022,2020,Census
Zip Code Tabulation Area,78404,TX,78404,78404,13.74,2018-2022,2020,Census
Zip Code Tabulation Area,76458,TX,76458,76458,13.65,2018-2022,2020,Census
Zip Code Tabulation Area,78204,TX,78204,78204,13.63,2018-2022,2020,Census
